Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (11491475) (LOCKED),Giannis Antetokounmpo,11491475,SF/PF/F/UTIL,11100,In Progress,MIL,57.88
SF/PF,LeBron James (11491479),LeBron James,11491479,SF/PF/F/UTIL,10500,SA@LAL 10/22/2018 10:30PM ET,LAL,47.12
SF/PF,Kevin Durant (11491483),Kevin Durant,11491483,SF/PF/F/UTIL,10400,PHO@GS 10/22/2018 10:30PM ET,GS,53.17
PG/SG,Stephen Curry (11491487),Stephen Curry,11491487,PG/SG/G/UTIL,10100,PHO@GS 10/22/2018 10:30PM ET,GS,52.33
PG,John Wall (11491491),John Wall,11491491,PG/G/UTIL,8900,WAS@POR 10/22/2018 10:00PM ET,WAS,48.62
SG/SF,Kawhi Leonard (11491494) (LOCKED),Kawhi Leonard,11491494,SG/SF/F/G/UTIL,8800,In Progress,TOR,47.38
C,Karl-Anthony Towns (11491499) (LOCKED),Karl-Anthony Towns,11491499,C/UTIL,8700,In Progress,MIN,34.08
PG,Damian Lillard (11491501),Damian Lillard,11491501,PG/G/UTIL,8600,WAS@POR 10/22/2018 10:00PM ET,POR,45.75
PG/SG,Devin Booker (11491504),Devin Booker,11491504,PG/SG/G/UTIL,8400,PHO@GS 10/22/2018 10:30PM ET,PHO,44.75
PG/SG,Victor Oladipo (11491508) (LOCKED),Victor Oladipo,11491508,PG/SG/G/UTIL,8200,In Progress,IND,36.75
C,DeAndre Jordan (11491512) (LOCKED),DeAndre Jordan,11491512,C/UTIL,8100,In Progress,DAL,42
SG/SF,Jimmy Butler (11491514) (LOCKED),Jimmy Butler,11491514,SG/SF/F/G/UTIL,8000,In Progress,MIN,52
PG,Kemba Walker (11491519) (LOCKED),Kemba Walker,11491519,PG/G/UTIL,7900,In Progress,CHA,50.92
PF/C,LaMarcus Aldridge (11491526),LaMarcus Aldridge,11491526,PF/C/F/UTIL,7800,SA@LAL 10/22/2018 10:30PM ET,SA,44.88
PG/SG,Donovan Mitchell (11491522),Donovan Mitchell,11491522,PG/SG/G/UTIL,7800,MEM@UTA 10/22/2018 09:00PM ET,UTA,33.12
C,Nikola Vucevic (11491530) (LOCKED),Nikola Vucevic,11491530,C/UTIL,7700,In Progress,ORL,44.58
SF/PF,Aaron Gordon (11491535) (LOCKED),Aaron Gordon,11491535,SF/PF/F/UTIL,7600,In Progress,ORL,41.5
PG,Kyle Lowry (11491532) (LOCKED),Kyle Lowry,11491532,PG/G/UTIL,7600,In Progress,TOR,44.5
SF/PF,Jayson Tatum (11491539) (LOCKED),Jayson Tatum,11491539,SF/PF/F/UTIL,7500,In Progress,BOS,39.83
