Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
SF/PF,Giannis Antetokounmpo (11532260),Giannis Antetokounmpo,11532260,SF/PF/F/UTIL,11600,TOR@MIL 10/29/2018 08:00PM ET,MIL,55.21
SF/PF,LeBron James (11532264),LeBron James,11532264,SF/PF/F/UTIL,11400,LAL@MIN 10/29/2018 08:00PM ET,LAL,56.58
PF/C,Anthony Davis (11532268),Anthony Davis,11532268,PF/C/F/UTIL,11100,NO@DEN 10/29/2018 09:00PM ET,NO,64.69
SF/PF,Kevin Durant (11532272),Kevin Durant,11532272,SF/PF/F/UTIL,10400,GS@CHI 10/29/2018 08:00PM ET,GS,51.89
PG/SG,Stephen Curry (11532276),Stephen Curry,11532276,PG/SG/G/UTIL,10200,GS@CHI 10/29/2018 08:00PM ET,GS,52.68
C,Joel Embiid (11532280),Joel Embiid,11532280,C/UTIL,10000,ATL@PHI 10/29/2018 07:00PM ET,PHI,57.08
C,Nikola Jokic (11532282),Nikola Jokic,11532282,C/UTIL,9900,NO@DEN 10/29/2018 09:00PM ET,DEN,51.45
PG/SF,Ben Simmons (11532284),Ben Simmons,11532284,PG/SF/F/G/UTIL,9700,ATL@PHI 10/29/2018 07:00PM ET,PHI,42.65
SG/SF,Kawhi Leonard (11532289),Kawhi Leonard,11532289,SG/SF/F/G/UTIL,9600,TOR@MIL 10/29/2018 08:00PM ET,TOR,46.2
PG,Damian Lillard (11532294),Damian Lillard,11532294,PG/G/UTIL,9400,POR@IND 10/29/2018 07:00PM ET,POR,53.5
SG/SF,DeMar DeRozan (11532297),DeMar DeRozan,11532297,SG/SF/F/G/UTIL,9100,DAL@SA 10/29/2018 08:30PM ET,SA,48.5
PF/C,LaMarcus Aldridge (11532302),LaMarcus Aldridge,11532302,PF/C/F/UTIL,8800,DAL@SA 10/29/2018 08:30PM ET,SA,43.35
PG/SG,Victor Oladipo (11532306),Victor Oladipo,11532306,PG/SG/G/UTIL,8600,POR@IND 10/29/2018 07:00PM ET,IND,38.83
C,Karl-Anthony Towns (11532310),Karl-Anthony Towns,11532310,C/UTIL,8400,LAL@MIN 10/29/2018 08:00PM ET,MIN,34.54
SG/SF,Jimmy Butler (11532312),Jimmy Butler,11532312,SG/SF/F/G/UTIL,8200,LAL@MIN 10/29/2018 08:00PM ET,MIN,40.8
PG,Kyle Lowry (11532317),Kyle Lowry,11532317,PG/G/UTIL,8000,TOR@MIL 10/29/2018 08:00PM ET,TOR,45.33
PG/SG,Zach LaVine (11532320),Zach LaVine,11532320,PG/SG/G/UTIL,7800,GS@CHI 10/29/2018 08:00PM ET,CHI,42.04
C,Hassan Whiteside (11532324),Hassan Whiteside,11532324,C/UTIL,7700,SAC@MIA 10/29/2018 07:30PM ET,MIA,36.25
C,Enes Kanter (11532326),Enes Kanter,11532326,C/UTIL,7500,BKN@NY 10/29/2018 07:30PM ET,NY,34.96
C,DeAndre Jordan (11532328),DeAndre Jordan,11532328,C/UTIL,7400,DAL@SA 10/29/2018 08:30PM ET,DAL,43.58
SF/PF,Nikola Mirotic (11532330),Nikola Mirotic,11532330,SF/PF/F/UTIL,7300,NO@DEN 10/29/2018 09:00PM ET,NO,40.15
PG,Trae Young (11532334),Trae Young,11532334,PG/G/UTIL,7200,ATL@PHI 10/29/2018 07:00PM ET,ATL,36.35
PF/C,Draymond Green (11532337),Draymond Green,11532337,PF/C/F/UTIL,7000,GS@CHI 10/29/2018 08:00PM ET,GS,32.04
SG/SF,Khris Middleton (11532341),Khris Middleton,11532341,SG/SF/F/G/UTIL,6900,TOR@MIL 10/29/2018 08:00PM ET,MIL,38.04
SG/SF,Josh Richardson (11532346),Josh Richardson,11532346,SG/SF/F/G/UTIL,6900,SAC@MIA 10/29/2018 07:30PM ET,MIA,31.7
SG/SF,Tim Hardaway Jr. (11532351),Tim Hardaway Jr.,11532351,SG/SF/F/G/UTIL,6800,BKN@NY 10/29/2018 07:30PM ET,NY,35.17
PG/SG,Jrue Holiday (11532359),Jrue Holiday,11532359,PG/SG/G/UTIL,6700,NO@DEN 10/29/2018 09:00PM ET,NO,35.65
SF,Taurean Prince (11532356),Taurean Prince,11532356,SF/F/UTIL,6700,ATL@PHI 10/29/2018 07:00PM ET,ATL,34.75
SF/PF,Kyle Kuzma (11532363),Kyle Kuzma,11532363,SF/PF/F/UTIL,6600,LAL@MIN 10/29/2018 08:00PM ET,LAL,29.83
PG,De'Aaron Fox (11532367),De'Aaron Fox,11532367,PG/G/UTIL,6600,SAC@MIA 10/29/2018 07:30PM ET,SAC,36.21
SG/SF,Luka Doncic (11532374),Luka Doncic,11532374,SG/SF/F/G/UTIL,6600,DAL@SA 10/29/2018 08:30PM ET,DAL,33.96
PG/SG,D'Angelo Russell (11532370),D'Angelo Russell,11532370,PG/SG/G/UTIL,6500,BKN@NY 10/29/2018 07:30PM ET,BKN,33.04
C,Jusuf Nurkic (11532384),Jusuf Nurkic,11532384,C/UTIL,6400,POR@IND 10/29/2018 07:00PM ET,POR,33.3
SG/SF,Caris LeVert (11532379),Caris LeVert,11532379,SG/SF/F/G/UTIL,6400,BKN@NY 10/29/2018 07:30PM ET,BKN,35.38
PF/C,Bobby Portis (11532400),Bobby Portis,11532400,PF/C/F/UTIL,6300,GS@CHI 10/29/2018 08:00PM ET,CHI,29.12
PG/SG,Jamal Murray (11532389),Jamal Murray,11532389,PG/SG/G/UTIL,6300,NO@DEN 10/29/2018 09:00PM ET,DEN,28.35
SG,Gary Harris (11532386),Gary Harris,11532386,SG/G/UTIL,6200,NO@DEN 10/29/2018 09:00PM ET,DEN,31.85
PF/C,Julius Randle (11532393),Julius Randle,11532393,PF/C/F/UTIL,6200,NO@DEN 10/29/2018 09:00PM ET,NO,30.15
PG,Goran Dragic (11532397),Goran Dragic,11532397,PG/G/UTIL,6200,SAC@MIA 10/29/2018 07:30PM ET,MIA,34
PF/C,DeMarcus Cousins (11532406),DeMarcus Cousins,11532406,PF/C/F/UTIL,6100,GS@CHI 10/29/2018 08:00PM ET,GS,0
PG/SG,Eric Bledsoe (11532410),Eric Bledsoe,11532410,PG/SG/G/UTIL,6100,TOR@MIL 10/29/2018 08:00PM ET,MIL,33.04
C,Willie Cauley-Stein (11532404),Willie Cauley-Stein,11532404,C/UTIL,6100,SAC@MIA 10/29/2018 07:30PM ET,SAC,34.17
SG/SF,Rodney McGruder (11532437),Rodney McGruder,11532437,SG/SF/F/G/UTIL,6100,SAC@MIA 10/29/2018 07:30PM ET,MIA,34.65
PG/SG,CJ McCollum (11532414),CJ McCollum,11532414,PG/SG/G/UTIL,6000,POR@IND 10/29/2018 07:00PM ET,POR,29.9
PF/C,Domantas Sabonis (11532418),Domantas Sabonis,11532418,PF/C/F/UTIL,6000,POR@IND 10/29/2018 07:00PM ET,IND,30.6
C,JaVale McGee (11532422),JaVale McGee,11532422,C/UTIL,6000,LAL@MIN 10/29/2018 08:00PM ET,LAL,33.17
SG/SF,Will Barton (11532429),Will Barton,11532429,SG/SF/F/G/UTIL,6000,NO@DEN 10/29/2018 09:00PM ET,DEN,30.75
C,Myles Turner (11532424),Myles Turner,11532424,C/UTIL,5900,POR@IND 10/29/2018 07:00PM ET,IND,24.71
PG,Rajon Rondo (11532426),Rajon Rondo,11532426,PG/G/UTIL,5900,LAL@MIN 10/29/2018 08:00PM ET,LAL,34.42
SG/SF,Andrew Wiggins (11532451),Andrew Wiggins,11532451,SG/SF/F/G/UTIL,5900,LAL@MIN 10/29/2018 08:00PM ET,MIN,24.88
PG,Elfrid Payton (11532434),Elfrid Payton,11532434,PG/G/UTIL,5900,NO@DEN 10/29/2018 09:00PM ET,NO,30.8
SF/PF,Jabari Parker (11532442),Jabari Parker,11532442,SF/PF/F/UTIL,5800,GS@CHI 10/29/2018 08:00PM ET,CHI,28.12
SG/SF,Tyreke Evans (11532446),Tyreke Evans,11532446,SG/SF/F/G/UTIL,5800,POR@IND 10/29/2018 07:00PM ET,IND,25.35
PG/SF,Brandon Ingram (11532464),Brandon Ingram,11532464,PG/SF/F/G/UTIL,5800,LAL@MIN 10/29/2018 08:00PM ET,LAL,23.75
PF/C,John Collins (11532456),John Collins,11532456,PF/C/F/UTIL,5800,ATL@PHI 10/29/2018 07:00PM ET,ATL,0
PG/SG,Kris Dunn (11532460),Kris Dunn,11532460,PG/SG/G/UTIL,5700,GS@CHI 10/29/2018 08:00PM ET,CHI,23
SG/SF,JJ Redick (11532469),JJ Redick,11532469,SG/SF/F/G/UTIL,5700,ATL@PHI 10/29/2018 07:00PM ET,PHI,30.96
SF/PF,Rudy Gay (11532474),Rudy Gay,11532474,SF/PF/F/UTIL,5700,DAL@SA 10/29/2018 08:30PM ET,SA,30.8
SG,Klay Thompson (11532478),Klay Thompson,11532478,SG/G/UTIL,5600,GS@CHI 10/29/2018 08:00PM ET,GS,24.39
PG,Lonzo Ball (11532481),Lonzo Ball,11532481,PG/G/UTIL,5600,LAL@MIN 10/29/2018 08:00PM ET,LAL,27.54
SG/SF,Kent Bazemore (11532484),Kent Bazemore,11532484,SG/SF/F/G/UTIL,5600,ATL@PHI 10/29/2018 07:00PM ET,ATL,30.3
SF/PF,Dario Saric (11532498),Dario Saric,11532498,SF/PF/F/UTIL,5600,ATL@PHI 10/29/2018 07:00PM ET,PHI,27.38
PF/C,Paul Millsap (11532489),Paul Millsap,11532489,PF/C/F/UTIL,5500,NO@DEN 10/29/2018 09:00PM ET,DEN,27.2
SG/SF,Buddy Hield (11532493),Buddy Hield,11532493,SG/SF/F/G/UTIL,5500,SAC@MIA 10/29/2018 07:30PM ET,SAC,27.17
PG,Dennis Smith Jr. (11532502),Dennis Smith Jr.,11532502,PG/G/UTIL,5500,DAL@SA 10/29/2018 08:30PM ET,DAL,29.3
PG/SG,Josh Hart (11532505),Josh Hart,11532505,PG/SG/G/UTIL,5400,LAL@MIN 10/29/2018 08:00PM ET,LAL,28
C,Jarrett Allen (11532513),Jarrett Allen,11532513,C/UTIL,5400,BKN@NY 10/29/2018 07:30PM ET,BKN,29
SF/PF,Robert Covington (11532515),Robert Covington,11532515,SF/PF/F/UTIL,5400,ATL@PHI 10/29/2018 07:00PM ET,PHI,29.54
C,Jonas Valanciunas (11532519),Jonas Valanciunas,11532519,C/UTIL,5300,TOR@MIL 10/29/2018 08:00PM ET,TOR,27.54
PG,Jeff Teague (11532521),Jeff Teague,11532521,PG/G/UTIL,5300,LAL@MIN 10/29/2018 08:00PM ET,MIN,28.33
SF/PF,Nemanja Bjelica (11532509),Nemanja Bjelica,11532509,SF/PF/F/UTIL,5300,SAC@MIA 10/29/2018 07:30PM ET,SAC,31.12
