Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (11564538) (LOCKED),Anthony Davis,11564538,PF/C/F/UTIL,11500,Final,NO,60.85
SF/PF,LeBron James (11564319) (LOCKED),LeBron James,11564319,SF/PF/F/UTIL,11300,In Progress,LAL,56.41
PG/SG,James Harden (11563813) (LOCKED),James Harden,11563813,PG/SG/G/UTIL,11000,Final,HOU,54.94
PG,Damian Lillard (11564268) (LOCKED),Damian Lillard,11564268,PG/G/UTIL,9900,In Progress,POR,46.53
SG/SF,DeMar DeRozan (11564483) (LOCKED),DeMar DeRozan,11564483,SG/SF/F/G/UTIL,9400,Final,SA,48.64
C,Nikola Jokic (11564208) (LOCKED),Nikola Jokic,11564208,C/UTIL,9000,Final,DEN,47.69
PG,Kemba Walker (11564043) (LOCKED),Kemba Walker,11564043,PG/G/UTIL,8900,Final,CHA,46.78
PG,Chris Paul (11563817) (LOCKED),Chris Paul,11563817,PG/G/UTIL,8800,Final,HOU,47.3
PF/C,Kevin Love (11564095) (LOCKED),Kevin Love,11564095,PF/C/F/UTIL,8400,Final,CLE,42.88
PF/C,LaMarcus Aldridge (11564488) (LOCKED),LaMarcus Aldridge,11564488,PF/C/F/UTIL,8300,Final,SA,40.21
SF/PF,Nikola Mirotic (11564542) (LOCKED),Nikola Mirotic,11564542,SF/PF/F/UTIL,8200,Final,NO,42.25
C,Rudy Gobert (11564153) (LOCKED),Rudy Gobert,11564153,C/UTIL,8100,Final,UTA,43.75
PG,Kyrie Irving (11563983) (LOCKED),Kyrie Irving,11563983,PG/G/UTIL,8000,Final,BOS,34.97
C,Hassan Whiteside (11564371) (LOCKED),Hassan Whiteside,11564371,C/UTIL,8000,Final,MIA,39.32
PG/SG,Jrue Holiday (11564546) (LOCKED),Jrue Holiday,11564546,PG/SG/G/UTIL,7900,Final,NO,38.69
PG/SG,Zach LaVine (11563869) (LOCKED),Zach LaVine,11563869,PG/SG/G/UTIL,7800,Final,CHI,41.64
PG/SG,Victor Oladipo (11563926) (LOCKED),Victor Oladipo,11563926,PG/SG/G/UTIL,7700,Final,IND,41.69
PG/SG,Donovan Mitchell (11564155) (LOCKED),Donovan Mitchell,11564155,PG/SG/G/UTIL,7500,Final,UTA,35.96
C,Clint Capela (11563820) (LOCKED),Clint Capela,11563820,C/UTIL,7400,Final,HOU,37.86
SG/SF,Josh Richardson (11564373) (LOCKED),Josh Richardson,11564373,SG/SF/F/G/UTIL,7200,Final,MIA,33.04
PF/C,Julius Randle (11564550) (LOCKED),Julius Randle,11564550,PF/C/F/UTIL,6900,Final,NO,32.84
SG/SF,Joe Ingles (11564159) (LOCKED),Joe Ingles,11564159,SG/SF/F/G/UTIL,6800,Final,UTA,30.66
PG,Trae Young (11564430) (LOCKED),Trae Young,11564430,PG/G/UTIL,6700,Final,ATL,33.66
PG/SG,Jamal Murray (11564210) (LOCKED),Jamal Murray,11564210,PG/SG/G/UTIL,6600,Final,DEN,29.16
PG,Goran Dragic (11564378) (LOCKED),Goran Dragic,11564378,PG/G/UTIL,6500,Final,MIA,31
