Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PF/C,Anthony Davis (11556869) (LOCKED),Anthony Davis,11556869,PF/C/F/UTIL,11600,In Progress,NO,60.85
SF/PF,Giannis Antetokounmpo (11556873) (LOCKED),Giannis Antetokounmpo,11556873,SF/PF/F/UTIL,11100,Final,MIL,55.21
PG,Russell Westbrook (11556877) (LOCKED),Russell Westbrook,11556877,PG/G/UTIL,10700,Final,OKC,51.75
C,Joel Embiid (11556880) (LOCKED),Joel Embiid,11556880,C/UTIL,10300,Final,PHI,53.38
C,Nikola Jokic (11556882) (LOCKED),Nikola Jokic,11556882,C/UTIL,10100,Final,DEN,51.79
PG,Damian Lillard (11556884) (LOCKED),Damian Lillard,11556884,PG/G/UTIL,9900,In Progress,POR,46.64
PG/SF,Ben Simmons (11556887) (LOCKED),Ben Simmons,11556887,PG/SF/F/G/UTIL,9600,Final,PHI,42.46
SF/PF,Paul George (11556892) (LOCKED),Paul George,11556892,SF/PF/F/UTIL,9100,Final,OKC,44.83
PG,Kemba Walker (11556896) (LOCKED),Kemba Walker,11556896,PG/G/UTIL,8800,Final,CHA,47.84
PF/C,Kevin Love (11556899) (LOCKED),Kevin Love,11556899,PF/C/F/UTIL,8400,Final,CLE,42.88
PG,Kyrie Irving (11556903) (LOCKED),Kyrie Irving,11556903,PG/G/UTIL,7700,Final,BOS,32.79
SF/PF,Tobias Harris (11556906) (LOCKED),Tobias Harris,11556906,SF/PF/F/UTIL,7600,Final,LAC,36.64
SF/PF,Nikola Mirotic (11556910) (LOCKED),Nikola Mirotic,11556910,SF/PF/F/UTIL,7500,In Progress,NO,41.68
PG/SG,Jamal Murray (11556914) (LOCKED),Jamal Murray,11556914,PG/SG/G/UTIL,7400,Final,DEN,31.14
C,Steven Adams (11556918) (LOCKED),Steven Adams,11556918,C/UTIL,7300,Final,OKC,37.65
PG/SG,Jrue Holiday (11556920) (LOCKED),Jrue Holiday,11556920,PG/SG/G/UTIL,7300,In Progress,NO,38.36
SG/SF,Khris Middleton (11556924) (LOCKED),Khris Middleton,11556924,SG/SF/F/G/UTIL,7200,Final,MIL,37.68
PG,Trae Young (11556929) (LOCKED),Trae Young,11556929,PG/G/UTIL,7100,Final,ATL,34.14
SG,Gary Harris (11556932) (LOCKED),Gary Harris,11556932,SG/G/UTIL,7000,Final,DEN,33.14
SF,Taurean Prince (11556935) (LOCKED),Taurean Prince,11556935,SF/F/UTIL,6900,Final,ATL,29.68
C,Willie Cauley-Stein (11556938) (LOCKED),Willie Cauley-Stein,11556938,C/UTIL,6800,Final,SAC,35.56
PG,De'Aaron Fox (11556940) (LOCKED),De'Aaron Fox,11556940,PG/G/UTIL,6700,Final,SAC,35.41
PG/SG,CJ McCollum (11556943) (LOCKED),CJ McCollum,11556943,PG/SG/G/UTIL,6600,In Progress,POR,29.64
PG/SG,Eric Bledsoe (11556947) (LOCKED),Eric Bledsoe,11556947,PG/SG/G/UTIL,6500,Final,MIL,33.04
SF/PF,Danilo Gallinari (11556951) (LOCKED),Danilo Gallinari,11556951,SF/PF/F/UTIL,6500,Final,LAC,32.96
PF/C,Julius Randle (11556955) (LOCKED),Julius Randle,11556955,PF/C/F/UTIL,6400,In Progress,NO,31.61
SG/SF,Buddy Hield (11556963) (LOCKED),Buddy Hield,11556963,SG/SF/F/G/UTIL,6400,Final,SAC,32.03
SF/PF,Jayson Tatum (11556959) (LOCKED),Jayson Tatum,11556959,SF/PF/F/UTIL,6300,Final,BOS,32.04
PF/C,Larry Nance Jr. (11556968) (LOCKED),Larry Nance Jr.,11556968,PF/C/F/UTIL,6200,Final,CLE,25.25
SF/PF,Nemanja Bjelica (11556972) (LOCKED),Nemanja Bjelica,11556972,SF/PF/F/UTIL,6200,Final,SAC,33.19
PF/C,Paul Millsap (11556976) (LOCKED),Paul Millsap,11556976,PF/C/F/UTIL,6100,Final,DEN,29.43
PF/C,Al Horford (11556980) (LOCKED),Al Horford,11556980,PF/C/F/UTIL,6000,Final,BOS,29.57
SG/SF,Kent Bazemore (11556984) (LOCKED),Kent Bazemore,11556984,SG/SF/F/G/UTIL,6000,Final,ATL,29.29
C,Jusuf Nurkic (11556989) (LOCKED),Jusuf Nurkic,11556989,C/UTIL,5900,In Progress,POR,31.46
PG,Elfrid Payton (11556996) (LOCKED),Elfrid Payton,11556996,PG/G/UTIL,5900,In Progress,NO,30.8
SG/SF,Will Barton (11556991) (LOCKED),Will Barton,11556991,SG/SF/F/G/UTIL,5800,Final,DEN,30.75
SG/SF,Nicolas Batum (11557001) (LOCKED),Nicolas Batum,11557001,SG/SF/F/G/UTIL,5700,Final,CHA,27.56
C,John Collins (11556999) (LOCKED),John Collins,11556999,C/UTIL,5700,Final,ATL,0
PG/SG,Dennis Schroder (11557006) (LOCKED),Dennis Schroder,11557006,PG/SG/G/UTIL,5600,Final,OKC,28.79
SG/SF,JJ Redick (11557010) (LOCKED),JJ Redick,11557010,SG/SF/F/G/UTIL,5600,Final,PHI,30.38
SF,Cedi Osman (11557019) (LOCKED),Cedi Osman,11557019,SF/F/UTIL,5500,Final,CLE,26.82
PG/SG,Lou Williams (11557015) (LOCKED),Lou Williams,11557015,PG/SG/G/UTIL,5500,Final,LAC,24.93
SF/PF,Robert Covington (11557022) (LOCKED),Robert Covington,11557022,SF/PF/F/UTIL,5400,Final,PHI,30.34
SG/SF,Rodney Hood (11557026) (LOCKED),Rodney Hood,11557026,SG/SF/F/G/UTIL,5300,Final,CLE,22.43
PF/C,Montrezl Harrell (11557035) (LOCKED),Montrezl Harrell,11557035,PF/C/F/UTIL,5200,Final,LAC,26.82
PG,Isaiah Thomas (11557039) (LOCKED),Isaiah Thomas,11557039,PG/G/UTIL,5100,Final,DEN,0
SF/PF,Marcus Morris (11557031) (LOCKED),Marcus Morris,11557031,SF/PF/F/UTIL,5100,Final,BOS,27
SG/SF,Jaylen Brown (11557042) (LOCKED),Jaylen Brown,11557042,SG/SF/F/G/UTIL,5000,Final,BOS,20.82
PF,Marvin Bagley III (11557047) (LOCKED),Marvin Bagley III,11557047,PF/F/UTIL,5000,Final,SAC,26.22
C,Alex Len (11557050) (LOCKED),Alex Len,11557050,C/UTIL,4900,Final,ATL,23.82
SG/SF,Bogdan Bogdanovic (11557061) (LOCKED),Bogdan Bogdanovic,11557061,SG/SF/F/G/UTIL,4900,Final,SAC,0
SF/PF,Dario Saric (11557052) (LOCKED),Dario Saric,11557052,SF/PF/F/UTIL,4900,Final,PHI,24.69
PF/C,Tristan Thompson (11557066) (LOCKED),Tristan Thompson,11557066,PF/C/F/UTIL,4800,Final,CLE,23.75
SG/SF,Gordon Hayward (11557056) (LOCKED),Gordon Hayward,11557056,SG/SF/F/G/UTIL,4800,Final,BOS,21.58
PG/SG,George Hill (11557078) (LOCKED),George Hill,11557078,PG/SG/G/UTIL,4700,Final,CLE,20.61
PF/C,Ersan Ilyasova (11557070) (LOCKED),Ersan Ilyasova,11557070,PF/C/F/UTIL,4700,Final,MIL,23
