Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (11539765),James Harden,11539765,PG/SG/G/UTIL,11100,POR@HOU 10/30/2018 08:00PM ET,HOU,54.94
PG,Russell Westbrook (11539769),Russell Westbrook,11539769,PG/G/UTIL,10500,LAC@OKC 10/30/2018 08:00PM ET,OKC,50.33
C,Joel Embiid (11539772),Joel Embiid,11539772,C/UTIL,9700,PHI@TOR 10/30/2018 07:30PM ET,PHI,53
PG,Damian Lillard (11539774),Damian Lillard,11539774,PG/G/UTIL,9600,POR@HOU 10/30/2018 08:00PM ET,POR,48.21
SG/SF,Kawhi Leonard (11539777),Kawhi Leonard,11539777,SG/SF/F/G/UTIL,9500,PHI@TOR 10/30/2018 07:30PM ET,TOR,46.2
PG,Chris Paul (11539782),Chris Paul,11539782,PG/G/UTIL,9300,POR@HOU 10/30/2018 08:00PM ET,HOU,42.5
PG/SF,Ben Simmons (11539785),Ben Simmons,11539785,PG/SF/F/G/UTIL,9100,PHI@TOR 10/30/2018 07:30PM ET,PHI,44.21
SF/PF,Paul George (11539790),Paul George,11539790,SF/PF/F/UTIL,8700,LAC@OKC 10/30/2018 08:00PM ET,OKC,42.2
C,Nikola Vucevic (11539794),Nikola Vucevic,11539794,C/UTIL,8600,SAC@ORL 10/30/2018 07:00PM ET,ORL,43.79
C,Andre Drummond (11539796),Andre Drummond,11539796,C/UTIL,8500,DET@BOS 10/30/2018 07:30PM ET,DET,43.15
PG,John Wall (11539798),John Wall,11539798,PG/G/UTIL,8400,WAS@MEM 10/30/2018 08:00PM ET,WAS,41.25
PG,Kemba Walker (11539801),Kemba Walker,11539801,PG/G/UTIL,8300,MIA@CHA 10/30/2018 07:00PM ET,CHA,49.32
PF/C,Blake Griffin (11539804),Blake Griffin,11539804,PF/C/F/UTIL,8200,DET@BOS 10/30/2018 07:30PM ET,DET,50.7
PF/C,Kevin Love (11539808),Kevin Love,11539808,PF/C/F/UTIL,8100,ATL@CLE 10/30/2018 07:00PM ET,CLE,42.88
PG,Kyle Lowry (11539812),Kyle Lowry,11539812,PG/G/UTIL,8000,PHI@TOR 10/30/2018 07:30PM ET,TOR,45.29
SF/PF,Tobias Harris (11539815),Tobias Harris,11539815,SF/PF/F/UTIL,7800,LAC@OKC 10/30/2018 08:00PM ET,LAC,38.67
C,Clint Capela (11539819),Clint Capela,11539819,C/UTIL,7700,POR@HOU 10/30/2018 08:00PM ET,HOU,35.05
PG,Mike Conley (11539821),Mike Conley,11539821,PG/G/UTIL,7600,WAS@MEM 10/30/2018 08:00PM ET,MEM,35.95
C,Marc Gasol (11539824),Marc Gasol,11539824,C/UTIL,7500,WAS@MEM 10/30/2018 08:00PM ET,MEM,35
C,Hassan Whiteside (11539826),Hassan Whiteside,11539826,C/UTIL,7400,MIA@CHA 10/30/2018 07:00PM ET,MIA,39.96
