Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG/SG,James Harden (11505662),James Harden,11505662,PG/SG/G/UTIL,11400,UTA@HOU 10/24/2018 08:00PM ET,HOU,58
SF/PF,Giannis Antetokounmpo (11505666),Giannis Antetokounmpo,11505666,SF/PF/F/UTIL,11300,PHI@MIL 10/24/2018 09:30PM ET,MIL,58.67
SF/PF,LeBron James (11505670),LeBron James,11505670,SF/PF/F/UTIL,11100,LAL@PHO 10/24/2018 10:00PM ET,LAL,53.75
C,Joel Embiid (11505674),Joel Embiid,11505674,C/UTIL,10100,PHI@MIL 10/24/2018 09:30PM ET,PHI,55.06
PG/SG,Stephen Curry (11505676),Stephen Curry,11505676,PG/SG/G/UTIL,9800,WAS@GS 10/24/2018 10:30PM ET,GS,52.12
SF/PF,Kevin Durant (11505680),Kevin Durant,11505680,SF/PF/F/UTIL,9700,WAS@GS 10/24/2018 10:30PM ET,GS,48.12
PG/SF,Ben Simmons (11505684),Ben Simmons,11505684,PG/SF/F/G/UTIL,9400,PHI@MIL 10/24/2018 09:30PM ET,PHI,42.17
PF/C,Kevin Love (11505689) (LOCKED),Kevin Love,11505689,PF/C/F/UTIL,8800,BKN@CLE 10/24/2018 07:00PM ET,CLE,46.25
SG/SF,Kawhi Leonard (11505693),Kawhi Leonard,11505693,SG/SF/F/G/UTIL,8700,MIN@TOR 10/24/2018 07:30PM ET,TOR,43.67
PG,John Wall (11505698),John Wall,11505698,PG/G/UTIL,8600,WAS@GS 10/24/2018 10:30PM ET,WAS,44.58
PF/C,LaMarcus Aldridge (11505701),LaMarcus Aldridge,11505701,PF/C/F/UTIL,8500,IND@SA 10/24/2018 08:30PM ET,SA,50.58
PG,Kemba Walker (11505705),Kemba Walker,11505705,PG/G/UTIL,8400,CHA@CHI 10/24/2018 08:00PM ET,CHA,48.75
PG,Chris Paul (11505712),Chris Paul,11505712,PG/G/UTIL,8300,UTA@HOU 10/24/2018 08:00PM ET,HOU,47.25
PG/SG,Devin Booker (11505708),Devin Booker,11505708,PG/SG/G/UTIL,8300,LAL@PHO 10/24/2018 10:00PM ET,PHO,44.58
C,Karl-Anthony Towns (11505715),Karl-Anthony Towns,11505715,C/UTIL,8200,MIN@TOR 10/24/2018 07:30PM ET,MIN,35.62
SG/SF,Jimmy Butler (11505717),Jimmy Butler,11505717,SG/SF/F/G/UTIL,8100,MIN@TOR 10/24/2018 07:30PM ET,MIN,44.75
C,DeAndre Jordan (11505722) (LOCKED),DeAndre Jordan,11505722,C/UTIL,8000,DAL@ATL 10/24/2018 07:00PM ET,DAL,41.33
SG/SF,DeMar DeRozan (11505724),DeMar DeRozan,11505724,SG/SF/F/G/UTIL,7900,IND@SA 10/24/2018 08:30PM ET,SA,50.92
PG/SG,Victor Oladipo (11505729),Victor Oladipo,11505729,PG/SG/G/UTIL,7800,IND@SA 10/24/2018 08:30PM ET,IND,36.25
PG/SG,Donovan Mitchell (11505733),Donovan Mitchell,11505733,PG/SG/G/UTIL,7700,UTA@HOU 10/24/2018 08:00PM ET,UTA,30.5
PG,Kyle Lowry (11505737),Kyle Lowry,11505737,PG/G/UTIL,7600,MIN@TOR 10/24/2018 07:30PM ET,TOR,45.38
SG,Bradley Beal (11505742),Bradley Beal,11505742,SG/G/UTIL,7500,WAS@GS 10/24/2018 10:30PM ET,WAS,42.67
C,Rudy Gobert (11505740),Rudy Gobert,11505740,C/UTIL,7500,UTA@HOU 10/24/2018 08:00PM ET,UTA,39.67
PG/SG,Zach LaVine (11505745),Zach LaVine,11505745,PG/SG/G/UTIL,7400,CHA@CHI 10/24/2018 08:00PM ET,CHI,44.25
C,Hassan Whiteside (11505749),Hassan Whiteside,11505749,C/UTIL,7400,NY@MIA 10/24/2018 07:30PM ET,MIA,32.92
C,Deandre Ayton (11505751),Deandre Ayton,11505751,C/UTIL,7300,LAL@PHO 10/24/2018 10:00PM ET,PHO,36
PG,Trae Young (11505755) (LOCKED),Trae Young,11505755,PG/G/UTIL,7200,DAL@ATL 10/24/2018 07:00PM ET,ATL,42.67
C,Marc Gasol (11505753),Marc Gasol,11505753,C/UTIL,7200,MEM@SAC 10/24/2018 10:00PM ET,MEM,35.17
SG/SF,Luka Doncic (11505758) (LOCKED),Luka Doncic,11505758,SG/SF/F/G/UTIL,7100,DAL@ATL 10/24/2018 07:00PM ET,DAL,33.58
SG/SF,Khris Middleton (11505765),Khris Middleton,11505765,SG/SF/F/G/UTIL,7000,PHI@MIL 10/24/2018 09:30PM ET,MIL,42
C,Enes Kanter (11505763),Enes Kanter,11505763,C/UTIL,7000,NY@MIA 10/24/2018 07:30PM ET,NY,41.06
PF/C,Bobby Portis (11505774),Bobby Portis,11505774,PF/C/F/UTIL,6900,CHA@CHI 10/24/2018 08:00PM ET,CHI,33.58
PF/C,Draymond Green (11505770),Draymond Green,11505770,PF/C/F/UTIL,6900,WAS@GS 10/24/2018 10:30PM ET,GS,28.5
SF/PF,Kyle Kuzma (11505778),Kyle Kuzma,11505778,SF/PF/F/UTIL,6900,LAL@PHO 10/24/2018 10:00PM ET,LAL,32.75
SG/SF,Caris LeVert (11505787) (LOCKED),Caris LeVert,11505787,SG/SF/F/G/UTIL,6800,BKN@CLE 10/24/2018 07:00PM ET,BKN,38.67
SG/SF,Tim Hardaway Jr. (11505782),Tim Hardaway Jr.,11505782,SG/SF/F/G/UTIL,6800,NY@MIA 10/24/2018 07:30PM ET,NY,39.06
PG/SG,Eric Bledsoe (11505792),Eric Bledsoe,11505792,PG/SG/G/UTIL,6700,PHI@MIL 10/24/2018 09:30PM ET,MIL,38.67
SG/SF,Joe Ingles (11505799),Joe Ingles,11505799,SG/SF/F/G/UTIL,6700,UTA@HOU 10/24/2018 08:00PM ET,UTA,38.92
PG,Mike Conley (11505796),Mike Conley,11505796,PG/G/UTIL,6700,MEM@SAC 10/24/2018 10:00PM ET,MEM,34.75
C,Clint Capela (11505807),Clint Capela,11505807,C/UTIL,6600,UTA@HOU 10/24/2018 08:00PM ET,HOU,33.67
PG,De'Aaron Fox (11505804),De'Aaron Fox,11505804,PG/G/UTIL,6600,MEM@SAC 10/24/2018 10:00PM ET,SAC,34.38
