Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1229451035,alanbr,0,198.2,QB Carson Wentz FLEX Todd Gurley II RB Marlon Mack RB Wendell Smallwood WR Jarvis Landry WR Josh Gordon WR Nelson Agholor TE Trey Burton DST Rams ,,Todd Gurley II,RB,88.95%,30.6
2,1231099069,JaBue12,0,191.62,QB Mitchell Trubisky RB Todd Gurley II RB Latavius Murray FLEX Kerryon Johnson WR Adam Thielen WR Taylor Gabriel WR Albert Wilson TE David Njoku DST Rams ,,David Njoku,TE,74.12%,15.2
3,1228200743,bdringman,0,191.44,QB Kirk Cousins RB Kerryon Johnson RB Marlon Mack FLEX Nick Chubb WR Jarvis Landry WR Stefon Diggs WR Josh Gordon TE Zach Ertz DST Rams ,,Nick Chubb,RB,72.49%,14
4,1232133455,chief2523,0,191.16,QB Joe Flacco RB Todd Gurley II RB Kerryon Johnson WR Jarvis Landry WR Robert Woods WR John Brown TE Trey Burton FLEX Dwayne Allen DST Colts ,,Adam Thielen,WR,54.05%,29
5,1224547160,fjdimmortal,0,188.92,QB Mitchell Trubisky RB Todd Gurley II FLEX Kerryon Johnson RB Nick Chubb WR Adam Thielen WR Alshon Jeffery WR Jermaine Kearse TE David Njoku DST Colts ,,Robert Woods,WR,52.82%,13.4
6,1231371468,mlorchards,0,187.88,QB Jared Goff FLEX Kerryon Johnson RB Marlon Mack RB Nick Chubb WR Adam Thielen WR Robert Woods WR Julian Edelman TE Trey Burton DST Vikings ,,Jermaine Kearse,WR,51.45%,0
7,1230617084,JulioCosme-1,0,187.22,QB Mitchell Trubisky RB Todd Gurley II FLEX Latavius Murray RB Nick Chubb WR Jarvis Landry WR Robert Woods WR Willie Snead IV TE David Njoku DST Rams ,,Ezekiel Elliott,FLEX,45.55%,6.2
8,1231307249,rosscaron40,0,186.56,QB Cam Newton RB Latavius Murray RB Nick Chubb WR Michael Thomas WR Jarvis Landry WR T.Y. Hilton FLEX Chris Godwin TE Trey Burton DST Colts ,,Willie Snead IV,WR,43.31%,6.6
9,1229533675,rcoppersmith,0,186.46,QB Cam Newton RB Tarik Cohen FLEX Kerryon Johnson RB Nick Chubb WR Adam Thielen WR Robert Woods WR John Brown TE Zach Ertz DST Lions ,,C.J. Beathard,QB,24.52%,9.1
10,1230866522,jcorb19,0,185.16,QB Cam Newton RB Todd Gurley II RB Kerryon Johnson FLEX Nick Chubb WR Adam Thielen WR Jarvis Landry WR Willie Snead IV TE O.J. Howard DST Patriots ,,Taylor Gabriel,WR,20.69%,5.6
