Rank,EntryId,EntryName,TimeRemaining,Points,Lineup,,Player,Roster Position,%Drafted,FPTS
1,1238169308,Johnner,13.74,206.9,QB Jared Goff RB Todd Gurley II RB James Conner FLEX Adrian Peterson WR Robert Woods WR Sammy Watkins WR Willie Snead IV TE O.J. Howard DST Steelers ,,Steelers ,DST,74.30%,7
2,1243089721,Fredgarvinsnl,5.15,201.34,QB Aaron Rodgers RB James Conner FLEX Joe Mixon RB Phillip Lindsay WR Tyler Boyd WR Demaryius Thomas WR Larry Fitzgerald TE Jared Cook DST Panthers ,,James Conner,RB,62.94%,41.2
3,1243647739,Clowery2249,5.15,193.14,QB Jameis Winston FLEX James Conner RB Joe Mixon RB Kareem Hunt WR Davante Adams WR Larry Fitzgerald WR Anthony Miller TE O.J. Howard DST Steelers ,,Kareem Hunt,RB,60.39%,19.6
4,1243846324,baseballcatcher2323,4.58,192.92,QB Patrick Mahomes RB Tarik Cohen RB Adrian Peterson WR Odell Beckham Jr. WR Tyler Boyd FLEX Golden Tate WR Sammy Watkins TE Jimmy Graham DST Chiefs ,,Phillip Lindsay,FLEX,53.61%,20.2
5,1244062605,coycat111,0.57,191.92,QB Patrick Mahomes RB Kareem Hunt FLEX Marlon Mack RB Phillip Lindsay WR Odell Beckham Jr. WR Tyler Boyd WR Chris Godwin TE O.J. Howard DST 49ers ,,Robert Woods,WR,48.02%,12
6,1244994536,AESolutions,4.58,191.82,QB Patrick Mahomes RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Anthony Miller TE O.J. Howard DST Steelers ,,Aaron Rodgers,QB,38.82%,15.94
6,1245100715,belmont131,4.58,191.82,QB Patrick Mahomes RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Anthony Miller TE O.J. Howard DST Steelers ,,Todd Gurley II,FLEX,33.71%,28.6
8,1239128995,BigPod,0,191.22,QB Patrick Mahomes RB Phillip Lindsay RB Chris Carson WR Antonio Brown WR Tyler Boyd WR Sammy Watkins TE Travis Kelce FLEX David Njoku DST Steelers ,,O.J. Howard,TE,27.51%,16.8
9,1239049221,Rigby,5.15,190.44,QB Jameis Winston RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE O.J. Howard DST Steelers ,,Martavis Bryant,WR,25.84%,0
9,1241866443,Prod2gy,5.15,190.44,QB Jameis Winston RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Larry Fitzgerald TE O.J. Howard DST Steelers ,,T.Y. Hilton,WR,25.48%,4.4
11,1243251846,rrod133,14.31,188.4,QB Jared Goff RB Todd Gurley II RB James Conner WR Robert Woods FLEX Marvin Jones Jr. WR Jordy Nelson WR Larry Fitzgerald TE Vance McDonald DST Steelers ,,C.J. Uzomah,TE,22.54%,0
12,1237788321,buttabrett,9.73,188.2,QB Jared Goff RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Tyler Boyd WR Christian Kirk TE O.J. Howard DST Steelers ,,Jordy Nelson,WR,19.06%,2.4
13,1243774912,dpalan,4.58,188.02,QB Russell Wilson RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Davante Adams WR Marvin Jones Jr. WR Chris Godwin TE Jared Cook DST Browns ,,David Njoku,TE,18.62%,0
14,1244648622,sbxlchamp,13.74,187.8,QB Jared Goff RB James Conner RB Kareem Hunt FLEX Adrian Peterson WR Davante Adams WR Brandin Cooks WR Anthony Miller TE O.J. Howard DST Steelers ,,Jared Goff,QB,16.90%,26.6
15,1239084106,Coachbox,5.15,187.62,QB Patrick Mahomes RB Todd Gurley II RB James Conner FLEX Phillip Lindsay WR Emmanuel Sanders WR Larry Fitzgerald WR Adam Humphries TE Vance McDonald DST Steelers ,,Jameis Winston,QB,16.77%,12.84
16,1241737895,Catander,0,187.58,QB Ben Roethlisberger RB James Conner RB Joe Mixon FLEX Kareem Hunt WR JuJu Smith-Schuster WR Sammy Watkins WR Anthony Miller TE Vance McDonald DST Redskins ,,Anthony Miller,WR,15.98%,13.4
17,1243148217,Donniebriskets,9.73,187.14,QB Aaron Rodgers RB James Conner FLEX Joe Mixon RB Kareem Hunt WR Davante Adams WR Larry Fitzgerald WR Anthony Miller TE Vance McDonald DST Steelers ,,Emmanuel Sanders,WR,15.49%,9.1
17,1245088676,mjwheeler3833,9.73,187.14,QB Aaron Rodgers RB James Conner RB Joe Mixon FLEX Kareem Hunt WR Davante Adams WR Larry Fitzgerald WR Anthony Miller TE Vance McDonald DST Steelers ,,A.J. Green,WR,15.10%,18.6
19,1244035309,labs72,14.31,186.34,QB Aaron Rodgers FLEX Todd Gurley II RB James Conner RB Joe Mixon WR Geronimo Allison WR Larry Fitzgerald WR Anthony Miller TE O.J. Howard DST Steelers ,,Davante Adams,WR,15.10%,21.3
20,1242353341,ryre06,9.16,186.2,QB Jared Goff RB James Conner RB Kareem Hunt FLEX Phillip Lindsay WR Robert Woods WR Emmanuel Sanders WR Sammy Watkins TE O.J. Howard DST Steelers ,,Tyler Boyd,WR,14.26%,31.6
21,1245254171,OJ_Pimpson,9.73,186.12,QB Patrick Mahomes RB Todd Gurley II RB James Conner WR Tyler Boyd WR Larry Fitzgerald WR Chester Rogers FLEX Anthony Miller TE Jimmy Graham DST Steelers ,,Doug Baldwin,WR,13.38%,4.6
